date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:05	118/118	---MCZ	200	added ('OK')	text/plain	date:Wed,%2001%20Jul%202026%2007:35:05%20GMT	https://sophiehustin.com/robots.txt		(from )
12:35:05	37352/37352	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:35:05%20GMT	https://sophiehustin.com/	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index.html	(from )
12:35:06	181283/181283	---M--	200	added ('OK')	image/png	date:Sat,%2002%20Sep%202017%2011:09:50%20GMT	https://sophiehustin.com/wp-content/themes/Sophiehustin/assets/images/facebook.png	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/themes/Sophiehustin/assets/images/facebook.png	(from https://sophiehustin.com/)
12:35:06	181283/181283	---M--	200	added ('OK')	image/jpeg	date:Sat,%2002%20Sep%202017%2011:09:49%20GMT	https://sophiehustin.com/wp-content/themes/Sophiehustin/assets/images/twitter.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/themes/Sophiehustin/assets/images/twitter.jpg	(from https://sophiehustin.com/)
12:35:07	5430/5430	---M--	200	added ('OK')	image/x-icon	date:Wed,%2030%20Aug%202017%2018:08:17%20GMT	https://sophiehustin.com/wp-content/themes/Sophiehustin/favicon.ico	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/themes/Sophiehustin/favicon.ico	(from https://sophiehustin.com/)
12:35:07	37451/37451	---M-Z	200	added ('OK')	text/css	date:Sat,%2023%20Sep%202017%2022:17:01%20GMT	https://sophiehustin.com/wp-content/themes/Sophiehustin/build/app.min.css	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/themes/Sophiehustin/build/app.min.css	(from https://sophiehustin.com/)
12:35:07	97517/97517	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2020:35:23%20GMT	https://sophiehustin.com/wp-includes/css/dist/block-library/style.min.css?ver=6.2.9	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-includes/css/dist/block-library/style.min0192.css	(from https://sophiehustin.com/)
12:35:07	291/291	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2020:35:23%20GMT	https://sophiehustin.com/wp-includes/css/classic-themes.min.css?ver=6.2.9	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-includes/css/classic-themes.min0192.css	(from https://sophiehustin.com/)
12:35:08	26361/26361	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:35:08%20GMT	https://sophiehustin.com/a-propos	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/a-propos.html	(from https://sophiehustin.com/)
12:35:08	34664/34664	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:35:08%20GMT	https://sophiehustin.com/actualites	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/actualites.html	(from https://sophiehustin.com/)
12:35:08	25235/25235	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:35:09%20GMT	https://sophiehustin.com/contact	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/contact.html	(from https://sophiehustin.com/)
12:35:09	44793/44793	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:35:09%20GMT	https://sophiehustin.com/peintures	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures.html	(from https://sophiehustin.com/)
12:35:09	44817/44817	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:35:09%20GMT	https://sophiehustin.com/sculptures	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/sculptures.html	(from https://sophiehustin.com/)
12:35:10	276591/276591	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Apr%202021%2016:46:46%20GMT	https://sophiehustin.com/wp-content/uploads/2021/04/amoureux-bois-ebene-copie.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2021/04/amoureux-bois-ebene-copie.jpg	(from https://sophiehustin.com/)
12:35:11	713615/713615	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Jul%202020%2013:59:51%20GMT	https://sophiehustin.com/wp-content/uploads/2020/07/40x40.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2020/07/40x40.jpg	(from https://sophiehustin.com/)
12:35:12	777009/777009	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Jul%202020%2013:53:57%20GMT	https://sophiehustin.com/wp-content/uploads/2020/07/juliette-copie.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2020/07/juliette-copie.jpg	(from https://sophiehustin.com/)
12:35:13	753248/753248	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Jul%202020%2014:00:02%20GMT	https://sophiehustin.com/wp-content/uploads/2020/07/The-little-voice-30x30-1.jpeg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2020/07/The-little-voice-30x30-1.jpg	(from https://sophiehustin.com/)
12:35:13	702142/702142	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Jul%202020%2013:51:59%20GMT	https://sophiehustin.com/wp-content/uploads/2020/07/the-key-98x70-copie.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2020/07/the-key-98x70-copie.jpg	(from https://sophiehustin.com/)
